,Title,URL,Score,Author,Views,Likes,Dislikes
0,Don 39 t Go Back To School 2020 YouTube,https://www.youtube.com/watch?v=BKFSGIamq2A,6.58273066055121,Prince Ea,1607437,252814,8624
1,Every teenager NEEDS to hear this 2020 YouTube,https://www.youtube.com/watch?v=UB7nGT3egak,8.691784241746715,Prince Ea,2767890,320192,1743
2,DONT WASTE 2020 YouTube,https://www.youtube.com/watch?v=QpEXD-mrEgk,9.173156321261008,Prince Ea,4268077,471002,5723
3,Angry Man Humiliates Uber Driver Driver Teaches Him a Lesson 2020 YouTube,https://www.youtube.com/watch?v=XxLyR78qz5Q,9.504312203536006,Prince Ea,484891,51848,830
4,STOP wasting your life 2020 YouTube,https://www.youtube.com/watch?v=M2NDQOgGycg,9.836158900820708,Prince Ea,11291035,1159739,11828
5,Top 10 Celebrities with BS First Jobs YouTube,https://www.youtube.com/watch?v=WqpU_Kd81c0,10.029112456524539,Prince Ea,155712,15817,291
6,BEFORE YOU GO TO SCHOOL WATCH THIS WHAT IS SCHOOL FOR YouTube,https://www.youtube.com/watch?v=_PsLRgEYf9E,10.491400062713595,Prince Ea,17197482,1661133,21935
7,Every teenager NEEDS to hear this YouTube,https://www.youtube.com/watch?v=pLgVB1stuJ8,10.871119172891387,Prince Ea,2894729,268488,2211
8,Dear Future Generations Sorry YouTube,https://www.youtube.com/watch?v=eRLJscAlk1M,11.74474826801665,Prince Ea,25686798,2226121,39033
9,How I Tricked My Brain To Like Doing Hard Things dopamine detox YouTube,https://www.youtube.com/watch?v=9QiE-M1LrZk,11.94591629104335,Better Than Yesterday,9874805,834769,8143
10,How to trick brain to do hardest things Dopamine detox Ashish Shukla from Deep Knowledge YouTube,https://www.youtube.com/watch?v=QVf36rZQyCY,11.974024306244674,Deep Knowledge,1025659,86872,1215
11,STOP Saying quot I Love You quot YouTube,https://www.youtube.com/watch?v=cr-ZCI_ZaFg,12.564707461084273,Prince Ea,3277127,263510,2690
12,STOP Trusting quot Motivational quot Speakers 2020 YouTube,https://www.youtube.com/watch?v=QQiuxK72Ilo,12.631117446091046,Prince Ea,2277441,182968,2664
13,Don 39 t Go Back to School Teaser YouTube,https://www.youtube.com/watch?v=HGHkuXswyPQ,12.836616968406107,Prince Ea,289286,23294,758
14,NEW YEAR NEW M STOP YouTube,https://www.youtube.com/watch?v=hF0zqiiMgOk,13.138934163376502,Prince Ea,2232975,171421,1470
15,Student Vs Teacher 2020 YouTube,https://www.youtube.com/watch?v=H4xH8sw0Eh8,13.392877301861546,Prince Ea,9348523,706636,8614
16,The Untold Truth About Money How to Build Wealth From Nothing YouTube,https://www.youtube.com/watch?v=6mRbDEtDoyA,13.76382053999322,James Jani,3208030,238860,5783
